1,1,0.0000000000000000
1,4,0.0005094071515872
1,9,0.0002709256199001
1,16,0.0001610478899220
1,25,0.0001056289466997
1,36,0.0000743179111743
1,49,0.0000550280529530
1,64,0.0000423430728342
1,81,0.0000335712042560
1,100,0.0000272592711196
1,121,0.0000225690429715
1,144,0.0000189902883322
1,169,0.0000161983297981
1,196,0.0000139787327309
1,225,0.0000121853257904
1,256,0.0000107157266781
1,289,0.0000094965126507
1,324,0.0000084739295468
1,361,0.0000076078977988
1,400,0.0000068680443442
1,441,0.0000062310146921
1,484,0.0000056786142816
1,529,0.0000051964994230
1,576,0.0000047732396201
1,625,0.0000043996357885
2,1,0.0008366721883803
2,4,0.0000654991393315
2,9,0.0000136268146652
2,16,0.0000044025730239
2,25,0.0000018228476416
2,36,0.0000008847420310
2,49,0.0000004795725242
2,64,0.0000002819418010
2,81,0.0000001763928985
2,100,0.0000001159201069
2,121,0.0000000792759624
2,144,0.0000000560312786
2,169,0.0000000407140492
2,196,0.0000000302905000
2,225,0.0000000229988974
2,256,0.0000000177749370
2,289,0.0000000139533729
2,324,0.0000000111057204
2,361,0.0000000089487983
2,400,0.0000000072909528
2,441,0.0000000059998462
2,484,0.0000000049822761
2,529,0.0000000041715602
2,576,0.0000000035192142
2,625,0.0000000029895491
3,1,0.0003856247334825
3,4,0.0000276347770447
3,9,0.0000056662159600
3,16,0.0000018219657184
3,25,0.0000007528018408
3,36,0.0000003649886306
3,49,0.0000001977184123
3,64,0.0000001161941524
3,81,0.0000000726767027
3,100,0.0000000477525586
3,121,0.0000000326531540
3,144,0.0000000230767340
3,169,0.0000000167670851
3,196,0.0000000124737171
3,225,0.0000000094706011
3,256,0.0000000073191834
3,289,0.0000000057453796
3,324,0.0000000045727304
3,361,0.0000000036845046
3,400,0.0000000030018289
3,441,0.0000000024701832
3,484,0.0000000020511632
3,529,0.0000000017173513
3,576,0.0000000014487537
3,625,0.0000000012306477
4,1,0.0000296322316719
4,4,0.0000011404237543
4,9,0.0000001591809055
4,16,0.0000000388052108
4,25,0.0000000129139166
4,36,0.0000000052421336
4,49,0.0000000024424547
4,64,0.0000000012592848
4,81,0.0000000007016133
4,100,0.0000000004156115
4,121,0.0000000002587281
4,144,0.0000000001678138
4,169,0.0000000001126672
4,196,0.0000000000779007
4,225,0.0000000000552465
4,256,0.0000000000400565
4,289,0.0000000000296142
4,324,0.0000000000222742
4,361,0.0000000000170146
4,400,0.0000000000131792
4,441,0.0000000000103383
4,484,0.0000000000082063
4,529,0.0000000000065866
4,576,0.0000000000053427
