"Temperature (K)","Solid Volume Fraction of h2o","Volume (m^3)","X (m)","Y (m)","Z (m)"
289.858642578125,0,2.4999999368446879e-05,0,0.05000000074505806,0
289.858642578125,0,2.4999999368446879e-05,0.0025000000000000001,0.05000000074505806,0
289.858642578125,0,2.4999999368446879e-05,0.0050000000000000001,0.05000000074505806,0
273.00177001953125,0.037615630775690079,2.4999999368446879e-05,0.0074999999999999997,0.05000000074505806,0
273.00177001953125,0.037615630775690079,2.4999999368446879e-05,0.01,0.05000000074505806,0
272.99996948242188,0.49974298477172852,2.4999999368446879e-05,0.012500000000000001,0.05000000074505806,0
272.99996948242188,0.49974298477172852,2.4999999368446879e-05,0.014999999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.017500000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.02,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.022499999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.025000000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.0275,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.029999999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.032500000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.035000000000000003,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.037499999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.040000000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.042500000000000003,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.044999999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.047500000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.050000000000000003,0.05000000074505806,0
273,0.5,2.4658203983562998e-05,0.052499999999999998,0.05000000074505806,0
273,0.5,2.5341796572320163e-05,0.055,0.05000000074505806,0
273,0.5,2.5341796572320163e-05,0.057500000000000002,0.05000000074505806,0
273,0.5,2.5341796572320163e-05,0.059999999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.0625,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.065000000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.067500000000000004,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.070000000000000007,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.072499999999999995,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.074999999999999997,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.077499999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.080000000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.082500000000000004,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.085000000000000006,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.087499999999999994,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.089999999999999997,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.092499999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.095000000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.097500000000000003,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.10000000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.10249999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.105,0.05000000074505806,0
273,0.5,2.4316406779689714e-05,0.1075,0.05000000074505806,0
273,0.5,2.5683593776193447e-05,0.11,0.05000000074505806,0
273,0.5,2.5683593776193447e-05,0.1125,0.05000000074505806,0
273,0.5,2.5683593776193447e-05,0.115,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.11749999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.12,0.05000000074505806,0
