"RMS of Temperature (K)","Temperature (K)","Total Energy (J/kg)","Energy Residual (W)","L2 Error (K)","X (m)","Y (m)","Z (m)"
109.49949825160606,0,0,-0.001953125,-150,1,0.05000000074505806,0
149.91120621954968,149.25723648071289,134779.2880859375,0,-37.42222793747311,0.9503412595183296,0.049511597023770455,0
207.97841893494876,207.77313613891602,187619.14453125,0.0037841796875,-15.585792697455986,0.90002447238970562,0.049179124623463369,0
55.379821530715191,0,0,0.0009765625,0,1,0.10000000149011612,0
90.129997619871673,88.437235832214355,79858.8251953125,0.0018310546875,15.078306995842354,0.95075019506450653,0.099938529044961741,0
264.82938569216174,300,270900,0.00537109375,0,0.85000000149011612,0,0
234.2286695337699,234.0499267578125,211347.08203125,0.0023193359375,-3.7992168441602487,0.85000000150013033,0.050000000624874211,0
61.846656716253356,58.952201843261719,53233.83837890625,0.00048828125,1.7264924312924919,0.95117162186341775,0.15067463504190548,0
146.0471039653907,145.49553489685059,131382.470703125,-0.000244140625,-1.2223227758934172,0.90024449176075816,0.10019313695639991,0
247.61476021999206,247.43406677246094,223432.9609375,-0.002197265625,-4.9052915951125584,0.79941447508137298,0.051061835752062509,0
46.334938169670721,42.194620132446289,38101.74169921875,0.000244140625,1.1021301448798368,0.95238038063506192,0.20096808107626352,0
179.49899905818114,179.11085510253906,161737.1015625,-0.0025634765625,3.412567898593565,0.84981377495423771,0.10257739369561361,0
106.11333107482137,105.08641815185547,94893.0361328125,-0.0003662109375,-9.365000672082985,0.90132324590399959,0.15256023704520119,0
277.53728650816959,300,270900,-0.00634765625,0,0.75,0,0
255.42979642513842,255.25027465820312,230490.99609375,-0.00341796875,-2.8760824120611233,0.74888922322672458,0.052088791791559126,0
199.45047439196617,199.08314895629883,179772.08203125,-0.000732421875,-5.5955677788481637,0.79869662899270555,0.10595730462417313,0
23.99751787613161,0,0,0,0,1,0.25,0
36.900877328435897,31.512600183486938,28455.877685546875,-0.0006103515625,-2.1227363740601373,0.9540188907721977,0.25078710797941928,0
79.854303219866352,78.237449645996094,70648.4169921875,-0.0001220703125,-3.9475303291368107,0.90343762194324118,0.20461465165392914,0
137.1457672425405,136.47869300842285,123240.259765625,-0.001220703125,-6.1422804980768717,0.85062462156067831,0.15787654045117105,0
21.793209933423476,0,0,0,0,1,0.30000000074505806,0
31.236684190228527,24.751370191574097,22350.487060546875,0.0001220703125,-1.4268129359536026,0.95543859529587927,0.29996286226314495,0
20.661771204872437,0,0,-0.000244140625,0,1,0.35000000149011612,0
28.097837324757698,20.767029285430908,18752.627685546875,0.0001220703125,-1.1733709258281166,0.95286568195920662,0.34947961460077792,0
284.94546520389565,300,270900,0.008544921875,0,0.40000000037252903,0,0
269.98004576950416,269.80549240112305,243634.359375,0.0015869140625,0.9581932236255426,0.40161131951193807,0.047982297824286688,0
271.51594033295453,271.34386444091797,245023.5078125,0.007080078125,1.7935049515227135,0.44998233111393526,0.046375262580808915,0
271.29173754141851,271.11552429199219,244817.31640625,0.001708984375,0.86210449069918127,0.49817395518952279,0.047705927203643625,0
280.22561374285522,300,270900,-0.00244140625,0,0.70000000018626451,0,0
260.56909988481107,260.39025497436523,235132.3984375,0.000732421875,-3.5231007985897662,0.697650212957867,0.052822436983713542,0
212.51722645758065,212.14707183837891,191568.8046875,0.001220703125,-4.1056423021495903,0.74599204984545453,0.10868724588081309,0
157.78163576016186,157.18965148925781,141942.255859375,0.00048828125,-13.60087669980318,0.79794296814443577,0.16678957693052388,0
105.1935736359499,104.13913154602051,94037.63671875,0.0003662109375,5.4059165095011821,0.85275943961134049,0.21464508450177694,0
61.951789004834538,59.631534576416016,53847.275390625,-6.103515625e-05,-7.6391385386781367,0.90636331494051936,0.25446741049621169,0
50.587397451390906,47.56849479675293,42954.35009765625,0.00030517578125,-4.7878714583024689,0.91248319014584622,0.30101937847616839,0
44.546895839089551,40.979550838470459,37004.53466796875,0.0001220703125,-2.9012495840475907,0.90553169660294697,0.34733249119941279,0
25.922533579147398,17.821306943893433,16092.640380859375,6.103515625e-05,0.1186896489030822,0.9513194235890291,0.39940150657227547,0
18.08710035029376,0,0,0.00018310546875,0,0.99999999999999989,0.70000000018626451,0
18.008308205552716,0,0,6.103515625e-05,0,0.99999999999999989,0.74999999999999989,0
18.83706522082236,5.3884453773498535,4865.7661743164062,-2.288818359375e-05,-0.2439611842993461,0.95261102423794319,0.700752335721881,0
18.466852146659964,4.1843961179256439,3778.5097045898438,0,-0.35844333641790582,0.95477467652885517,0.75001309479177625,0
17.961936687436953,0,0,0,0,0.99999999999999989,0.80000000074505795,0
18.252642972663519,3.3028557002544403,2982.4786682128906,2.288818359375e-05,-0.15041664678345956,0.95327629423417815,0.79918451589954542,0
283.70492780076893,300,270900,0.00244140625,0,0.35000000149011612,0,0
267.48195986636676,267.30507278442383,241376.484375,0.0001220703125,0.92474530919757569,0.3527754309356686,0.048352413160902413,0
240.57006901632428,240.21333694458008,216912.640625,-0.00201416015625,2.5187385895850696,0.40698108238185349,0.097828340691821836,0
243.61915458834534,243.26972961425781,219672.5625,0.00146484375,4.169010635467302,0.44994959374366822,0.091187917721687523,0
242.73290513023341,242.37371063232422,218863.45703125,0.0008544921875,1.8668710297382063,0.49288196061918194,0.097162914331643285,0
284.9675456400513,300,270900,-0.004638671875,0,0.55000000074505806,0,0
269.69041691187539,269.50839996337891,243366.08203125,-0.00286865234375,-0.041959526016349002,0.54664345436614181,0.049224123247224028,0
19.353517156955483,0,0,0.0003662109375,0,1,0.45000000018626451,0
18.924438162495285,0,0,0.0001220703125,0,1,0.49999999999999994,0
22.403872108124411,12.601911187171936,11379.525512695312,1.52587890625e-05,0.36367069783603689,0.94999999973731641,0.5000000001602255,0
23.997336552524004,15.063920617103577,13602.72021484375,0.000213623046875,0.093491724940451881,0.95038934551108067,0.44952928910181933,0
21.158187026297757,10.479372382164001,9462.873046875,4.57763671875e-05,0.14331009359235214,0.94999999949612912,0.55000000078511446,0
264.3017404145607,264.12084579467773,238501.125,0.0009765625,-2.2594816805485181,0.64651809950228545,0.05283371236843197,0
221.82987682195383,221.45396423339844,199972.92578125,-0.000244140625,-6.3727473125115637,0.6924841302267869,0.11000815441931272,0
173.13121349634156,172.54261016845703,155805.9765625,0.001708984375,-11.573249798784964,0.74216308626105665,0.17079630929971337,0
122.984463885908,122.0784797668457,110236.8671875,-0.000732421875,6.7970296689399561,0.79963763063732918,0.23265257860492011,0
81.415795414356282,79.867276191711426,72120.150390625,-6.103515625e-05,-0.59834064225390016,0.85689721466130175,0.26866767580956524,0
66.175468913846416,64.131443023681641,57910.69140625,0.000244140625,-1.9929879973007918,0.87522248858692175,0.30331075450620382,0
39.974447726453022,35.850091934204102,32372.6328125,-0.0001220703125,0.44485734422340073,0.90051780577860663,0.39633531935271471,0
64.210730435148506,62.02552318572998,56009.046875,-0.0003662109375,0.33824459666477935,0.85602140282684347,0.33775503426486525,0
19.410790685503208,6.9088363647460938,6238.6793212890625,3.0517578125e-05,-0.12430895998220581,0.950762403776511,0.65114093172181009,0
19.698979486820246,8.1705676317214966,7378.0225830078125,1.52587890625e-05,-0.9151112769656029,0.91081589744305536,0.75078622959697527,0
20.791121558551616,10.488779544830322,9471.367919921875,-5.340576171875e-05,-0.77603357846807697,0.90427513186569231,0.70497775317403544,0
19.098671158975765,6.6055448055267334,5964.8070068359375,6.866455078125e-05,-0.30099988854906634,0.90581946284829873,0.7974214769501925,0
17.930648144065682,0,0,0,0,0.99999999999999989,0.8500000014901159,0
18.101417876549014,2.5002579092979431,2257.7328643798828,1.52587890625e-05,-0.046913846034984275,0.95158242113222102,0.84928255363937766,0
245.692404386551,300,270900,0.00390625,0,0.10000000149011612,0,0
265.56202669645074,300,270900,-0.0029296875,0,0.15000000037252903,0,0
208.31954726388486,208.13008880615234,187941.46875,0.002197265625,-15.228840030219658,0.09991037467442479,0.049333569201293094,0
236.13501658669759,235.97876739501953,213088.82421875,-0.0009765625,-1.8703762069532175,0.15073386595105959,0.048689215405287707,0
250.82470939709131,250.65671920776367,226343.015625,-0.00341796875,-1.682639159809824,0.2018861642804971,0.048109230464286917,0
264.16973589482279,263.99280548095703,238385.5078125,0.0028076171875,0.079449708002030661,0.30342364014759227,0.048439061992749381,0
235.92625889030816,235.56436920166016,212714.625,-0.00030517578125,2.8037142512076514,0.36030905928458024,0.098558482606847256,0
