"Centroid: Magnitude","cen_X","cen_Y","cen_Z","X (m)","Y (m)","Z (m)"
1.3965358927446494,0.9874999998166456,0.98750000004365568,0,0.9874999998166456,0.98750000004365568,0
1.3789715366953204,0.96249999944993736,0.98750000003783489,0,0.96249999944993736,0.98750000003783489,0
1.3789715370164399,0.98749999982246639,0.96250000013096704,0,0.98749999982246639,0.96250000013096704,0
1.3616396358272265,0.93749999931314942,0.98749999956635282,0,0.93749999931314942,0.98749999956635282,0
1.3611805534877588,0.96249999946739973,0.96250000011350478,0,0.96249999946739973,0.96250000011350478,0
1.3616396367855879,0.98749999936262589,0.93750000091968078,0,0.98749999936262589,0.93750000091968078,0
1.34454918088284,0.91249999986903252,0.98750000002619331,0,0.91249999986903252,0.98750000002619331,0
1.3436191796179044,0.93749999933643247,0.96250000056170382,0,0.93749999933643247,0.96250000056170382,0
1.3436191796187165,0.96249999995052327,0.93749999996507505,0,0.96249999995052327,0.93749999996507505,0
1.3445491812039554,0.98749999983410808,0.9125000005500622,0,0.98749999983410808,0.9125000005500622,0
1.3277094938135927,0.88749999995634399,0.98750000002037253,0,0.88749999995634399,0.98750000002037253,0
1.3262965354490373,0.91249999988649477,0.96250000007858016,0,0.91249999988649477,0.96250000007858016,0
1.3258252147247762,0.93749999959254604,0.9375000004074534,0,0.93749999959254604,0.9375000004074534,0
1.3262965354753697,0.96249999950232423,0.91250000053259983,0,0.96249999950232423,0.91250000053259983,0
1.3277094938311291,0.98749999983992875,0.88750000018335407,0,0.98749999983992875,0.88750000018335407,0
1.3111302375097804,0.8624999998166456,0.98750000001455174,0,0.8624999998166456,0.98750000001455174,0
1.3092220972969002,0.88749999996216478,0.9625000000611178,0,0.88749999996216478,0.9625000000611178,0
1.3082669836550025,0.91250000036961842,0.93749999991850919,0,0.91250000036961842,0.93749999991850919,0
1.3082669835484992,0.93750000008149048,0.9125000000494764,0,0.93750000008149048,0.9125000000494764,0
1.3092220970449251,0.96249999951978671,0.88750000017753328,0,0.96249999951978671,0.88750000017753328,0
1.3111302375319782,0.98749999984574954,0.86250000004365568,0,0.98749999984574954,0.86250000004365568,0
1.2948214159087301,0.83749999944993736,0.98750000000873095,0,0.83749999944993736,0.98750000000873095,0
1.2924057024703162,0.86249999982246639,0.96250000004365555,0,0.86249999982246639,0.96250000004365555,0
1.2909541054272617,0.88750000043364685,0.93750000082654861,0,0.88750000043364685,0.93750000082654861,0
1.2904698759617941,0.91249999992141939,0.91250000049767543,0,0.91249999992141939,0.91250000049767543,0
1.2909541042518513,0.93750000033760428,0.8874999992403898,0,0.93750000033760428,0.8874999992403898,0
1.2924057022369058,0.96249999953724896,0.862500000037835,0,0.96249999953724896,0.862500000037835,0
1.2948214162293661,0.98749999985157033,0.83750000013096715,0,0.98749999985157033,0.83750000013096715,0
1.2787933769551458,0.81250000001164124,0.98750000046857145,0,0.81250000001164124,0.98750000046857145,0
1.2758575544151927,0.83749999946739961,0.96250000002619318,0,0.83749999946739961,0.96250000002619318,0
