"Temperature (K)","Solid Volume Fraction of h2o","X (m)","Y (m)","Z (m)"
294.52896118164062,0,0,0.05000000074505806,0
294.52896118164062,0,0.001,0.05000000074505806,0
294.52896118164062,0,0.002,0.05000000074505806,0
284.42007446289062,0,0.0030000000000000001,0.05000000074505806,0
284.42007446289062,0,0.0040000000000000001,0.05000000074505806,0
276.89700317382812,0,0.0050000000000000001,0.05000000074505806,0
276.89700317382812,0,0.0060000000000000001,0.05000000074505806,0
273.00149536132812,0.43589171767234802,0.0070000000000000001,0.05000000074505806,0
273.00149536132812,0.43589171767234802,0.0080000000000000002,0.05000000074505806,0
272.99984741210938,0.49997049570083618,0.0089999999999999993,0.05000000074505806,0
272.99984741210938,0.49997049570083618,0.01,0.05000000074505806,0
273,0.5,0.010999999999999999,0.05000000074505806,0
273,0.5,0.012,0.05000000074505806,0
273,0.5,0.012999999999999999,0.05000000074505806,0
273,0.5,0.014,0.05000000074505806,0
273,0.5,0.014999999999999999,0.05000000074505806,0
273,0.5,0.016,0.05000000074505806,0
273,0.5,0.017000000000000001,0.05000000074505806,0
273,0.5,0.017999999999999999,0.05000000074505806,0
273,0.5,0.019,0.05000000074505806,0
273,0.5,0.02,0.05000000074505806,0
273,0.5,0.021000000000000001,0.05000000074505806,0
273,0.5,0.021999999999999999,0.05000000074505806,0
273,0.5,0.023,0.05000000074505806,0
273,0.5,0.024,0.05000000074505806,0
273,0.5,0.025000000000000001,0.05000000074505806,0
273,0.5,0.025999999999999999,0.05000000074505806,0
273,0.5,0.027,0.05000000074505806,0
273,0.5,0.028000000000000001,0.05000000074505806,0
273,0.5,0.029000000000000001,0.05000000074505806,0
273,0.5,0.029999999999999999,0.05000000074505806,0
273,0.5,0.031,0.05000000074505806,0
273,0.5,0.032000000000000001,0.05000000074505806,0
273,0.5,0.033000000000000002,0.05000000074505806,0
273,0.5,0.034000000000000002,0.05000000074505806,0
273,0.5,0.035000000000000003,0.05000000074505806,0
273,0.5,0.035999999999999997,0.05000000074505806,0
273,0.5,0.036999999999999998,0.05000000074505806,0
273,0.5,0.037999999999999999,0.05000000074505806,0
273,0.5,0.039,0.05000000074505806,0
273,0.5,0.040000000000000001,0.05000000074505806,0
273,0.5,0.041000000000000002,0.05000000074505806,0
273,0.5,0.042000000000000003,0.05000000074505806,0
273,0.5,0.042999999999999997,0.05000000074505806,0
273,0.5,0.043999999999999997,0.05000000074505806,0
273,0.5,0.044999999999999998,0.05000000074505806,0
273,0.5,0.045999999999999999,0.05000000074505806,0
273,0.5,0.047,0.05000000074505806,0
273,0.5,0.048000000000000001,0.05000000074505806,0
273,0.5,0.049000000000000002,0.05000000074505806,0
273,0.5,0.050000000000000003,0.05000000074505806,0
273,0.5,0.050999999999999997,0.05000000074505806,0
273,0.5,0.051999999999999998,0.05000000074505806,0
273,0.5,0.052999999999999999,0.05000000074505806,0
273,0.5,0.053999999999999999,0.05000000074505806,0
273,0.5,0.055,0.05000000074505806,0
273,0.5,0.056000000000000001,0.05000000074505806,0
273,0.5,0.057000000000000002,0.05000000074505806,0
273,0.5,0.058000000000000003,0.05000000074505806,0
273,0.5,0.058999999999999997,0.05000000074505806,0
273,0.5,0.059999999999999998,0.05000000074505806,0
273,0.5,0.060999999999999999,0.05000000074505806,0
273,0.5,0.062,0.05000000074505806,0
273,0.5,0.063,0.05000000074505806,0
273,0.5,0.064000000000000001,0.05000000074505806,0
273,0.5,0.065000000000000002,0.05000000074505806,0
273,0.5,0.066000000000000003,0.05000000074505806,0
273,0.5,0.067000000000000004,0.05000000074505806,0
273,0.5,0.068000000000000005,0.05000000074505806,0
273,0.5,0.069000000000000006,0.05000000074505806,0
