"Temperature (K)","steady_table_vals","L_inf (K)","L2_err","Total Energy (J/kg)","Energy Residual (W)","Volume (m^3)","X (m)","Y (m)","Z (m)"
0.051331870257854462,0.051291552081570997,4.0318176283464513e-05,1.6255553388245204e-09,46.352680206298828,0,0.00062499998603016138,0.9874999998166456,0.98750000004365568,0
0.15366446971893311,0.15354429390681801,0.00012017581211509754,1.4442225817523223e-08,138.75901794433594,-7.62939453125e-06,0.00062500004423782229,0.96249999944993736,0.98750000003783489,0
0.15432672202587128,0.15420549209735299,0.00012122992851829051,1.4696695568549827e-08,139.35702514648438,1.52587890625e-05,0.00062499998603016138,0.98749999982246639,0.96250000013096704,0
0.25500661134719849,0.254808787689705,0.00019782365749348996,3.9134199464101626e-08,230.27096557617188,3.0517578125e-05,0.00062499998603016138,0.93749999931314942,0.98749999956635282,0
0.46198391914367676,0.46162254812576903,0.00036137101790773007,1.3058901258366896e-07,417.17147827148438,-1.52587890625e-05,0.00062500004423782229,0.96249999946739973,0.96250000011350478,0
0.25831782817840576,0.25811479834815798,0.00020302983024778065,4.1221111970442625e-08,233.26100158691406,-7.62939453125e-06,0.00062499998603016138,0.98749999936262589,0.93750000091968078,0
0.35470736026763916,0.35443553714656001,0.00027182312107915108,7.3887809153210831e-08,320.30075073242188,0,0.00062499998603016138,0.91249999986903252,0.98750000002619331,0
0.76666104793548584,0.76606636239955395,0.00059468553593189366,3.536508866466036e-07,692.294921875,0,0.00062499998603016138,0.93749999933643247,0.96250000056170382,0
0.77328342199325562,0.77267828645457903,0.00060513553867658221,3.6618902016939734e-07,698.27490234375,1.52587890625e-05,0.00062499998603016138,0.96249999995052327,0.93749999996507505,0
0.36397889256477356,0.36369259407517301,0.00028629848960054494,8.1966825147553334e-08,328.67294311523438,-1.52587890625e-05,0.00062500004423782229,0.98749999983410808,0.9125000005500622,0
0.45212996006011963,0.45178894888864402,0.00034101117147561366,1.1628861907117038e-07,408.27334594726562,6.103515625e-05,0.00062499998603016138,0.88749999995634399,0.98750000002037253,0
1.0664001703262329,1.06558312997647,0.00081704034976293194,6.6755493314073417e-07,962.9593505859375,-6.103515625e-05,0.00062499998603016138,0.91249999988649477,0.96250000007858016,0
1.2832536697387695,1.28225800935143,0.00099566038733955864,9.913396069171599e-07,1158.778076171875,-7.62939453125e-06,0.00062499992782250047,0.93749999959254604,0.9375000004074534,0
1.0895782709121704,1.0887250154900801,0.00085325542209035987,7.2804481532659822e-07,983.88916015625,0,0.00062500004423782229,0.96249999950232423,0.91250000053259983,0
0.4719984233379364,0.47162663509425301,0.00037178824368339081,1.3822649814118037e-07,426.21456909179688,1.52587890625e-05,0.00062500004423782229,0.98749999983992875,0.88750000018335407,0
0.54665666818618774,0.54625233599131195,0.00040433219487578942,1.6348452381307336e-07,493.6309814453125,0,0.00062500004423782229,0.8624999998166456,0.98750000001455174,0
1.3592855930328369,1.3582608291839899,0.0010247638488469768,1.0501409459036695e-06,1227.4349365234375,-8.392333984375e-05,0.00062499998603016138,0.88749999996216478,0.9625000000611178,0
1.7849467992782593,1.7835793605702099,0.00136743870804934,1.869888620271648e-06,1611.8070068359375,3.0517578125e-05,0.00062499998603016138,0.91250000036961842,0.93749999991850919,0
1.8081232309341431,1.80671985068295,0.0014033802511930205,1.9694761294385853e-06,1632.7352294921875,0,0.00062499998603016138,0.93750000008149048,0.9125000000494764,0
1.4129273891448975,1.4118196406975501,0.0011077484473474009,1.2271066226005772e-06,1275.8734130859375,-4.57763671875e-05,0.00062500004423782229,0.96249999951978671,0.88750000017753328,0
0.58308583498001099,0.58262553866829303,0.00046029631171795593,2.1187269458115366e-07,526.5264892578125,-3.0517578125e-05,0.00062499998603016138,0.98749999984574954,0.86250000004365568,0
0.63769376277923584,0.63723268353927498,0.00046107923996085987,2.1259406552288419e-07,575.83746337890625,3.0517578125e-05,0.00062500004423782229,0.83749999944993736,0.98750000000873095,0
