X,Y,Temperature (K)
0.43,0.57,57.32208967400977
0.43,0.62,48.19761982636284
0.43,0.67,40.1018715984321
0.43,0.71,32.87196478813536
0.43,0.76,26.35781033600927
0.43,0.81,20.421100843574308
0.43,0.86,14.933747019488047
0.43,0.9,9.776010621369458
0.43,0.95,4.834483947142669
0.43,1.0,0.0
0.48,0.0,300.0
0.48,0.05,271.24189513876496
0.48,0.1,243.10941691174233
0.48,0.14,216.16050058298416
0.48,0.19,190.8345712017465
0.48,0.24,167.42809077898252
0.48,0.29,146.09602854587115
0.48,0.33,126.87170156962908
0.48,0.38,109.69532835496007
0.48,0.43,94.44336557182592
0.48,0.48,80.95388420490504
0.48,0.52,69.04611579509502
0.48,0.57,58.5341696143221
0.48,0.62,49.23582924552928
0.48,0.67,40.977595759322384
0.48,0.71,33.59706290317635
0.48,0.76,26.94349725379612
0.48,0.81,20.877266871662442
0.48,0.86,15.268564561139032
0.48,0.9,9.995719797195294
0.48,0.95,4.943284088780577
0.48,1.0,0.0
0.52,0.0,300.0
0.52,0.05,271.24189513876496
0.52,0.1,243.10941691174224
0.52,0.14,216.16050058298416
0.52,0.19,190.8345712017465
0.52,0.24,167.42809077898252
0.52,0.29,146.09602854587115
0.52,0.33,126.87170156962908
0.52,0.38,109.69532835496007
0.52,0.43,94.44336557182592
0.52,0.48,80.95388420490504
0.52,0.52,69.046115795095
0.52,0.57,58.5341696143221
0.52,0.62,49.23582924552928
0.52,0.67,40.977595759322384
0.52,0.71,33.59706290317635
0.52,0.76,26.94349725379612
0.52,0.81,20.877266871662442
0.52,0.86,15.268564561139032
0.52,0.9,9.995719797195294
0.52,0.95,4.943284088780577
0.52,1.0,0.0
0.57,0.0,300.0
0.57,0.05,270.6044757662617
0.57,0.1,241.9053157510235
0.57,0.14,214.51292913364273
0.57,0.19,188.891021008875
0.57,0.24,165.33316635610095
0.57,0.29,143.97277262662104
0.57,0.33,124.81324566478295
0.57,0.38,107.76469139394908
0.57,0.43,92.67791032599024
0.57,0.48,79.37145520062877
0.57,0.52,67.6510096132233
0.57,0.57,57.32208967400977
0.57,0.62,48.19761982636284
0.57,0.67,40.1018715984321
0.57,0.71,32.87196478813536
0.57,0.76,26.35781033600927
0.57,0.81,20.421100843574308
0.57,0.86,14.933747019488047
0.57,0.9,9.776010621369458
0.57,0.95,4.834483947142669
0.57,1.0,0.0
0.62,0.0,300.0
0.62,0.05,269.2555890361657
0.62,0.1,239.3688633580436
0.62,0.14,211.06554972847232
0.62,0.19,184.85616403978463
0.62,0.24,161.01895896845073
0.62,0.29,139.6332018360699
0.62,0.33,120.63414277764649
0.62,0.38,103.86712791480612
0.62,0.43,89.13017189711347
0.62,0.48,76.20313046787503
0.62,0.52,64.86571193163572
0.62,0.57,54.907516882574654
0.62,0.62,46.132872085193945
0.62,0.67,38.36246330934383
0.62,0.71,31.433092596377502
0.62,0.76,25.196389420651588
0.62,0.81,19.516974933558892
0.62,0.86,14.270368868879862
0.62,0.9,9.340799129977631
0.62,0.95,4.618995288683814
0.62,1.0,0.0
0.67,0.0,300.0
0.67,0.05,267.0254791091339
0.67,0.1,235.2111010420362
0.67,0.14,205.48407627907557
0.67,0.19,178.4154056280003
0.67,0.24,154.229391636762
0.67,0.29,132.8923139050476
0.67,0.33,114.2154976126001
0.67,0.38,97.93679207823045
0.67,0.43,83.77271272641785
0.67,0.48,71.44697205797813
0.67,0.52,60.70373061307052
0.67,0.57,51.31217001036716
0.67,0.62,43.06660183477931
0.67,0.67,35.78450238739994
0.67,0.71,29.303724679534767
0.67,0.76,23.479498576926417
0.67,0.81,18.181492186127134
0.67,0.86,13.291037375615721
0.67,0.9,8.698539841608456
0.67,0.95,4.301055747504751
0.67,1.0,0.0
0.71,0.0,300.0
0.71,0.05,263.59279771802903
0.71,0.1,228.90249015939372
0.71,0.14,197.18425575703665
0.71,0.19,169.04877466859784
0.71,0.24,144.56581155448993
0.71,0.29,123.4797933995143
0.71,0.33,105.3958480215435
0.71,0.38,89.89344226026137
0.71,0.43,76.58055122024814
0.71,0.48,65.11259958484486
0.71,0.52,55.19430896610772
0.71,0.57,46.57471136499556
0.71,0.62,39.040263307291376
0.71,0.67,32.40811339387429
0.71,0.71,26.520206600485793
0.71,0.76,21.23832668463673
0.71,0.81,16.439965461592536
0.71,0.86,12.014853330636702
0.71,0.9,7.861991067597572
0.71,0.95,3.8870460576022485
0.71,1.0,0.0
0.76,0.0,300.0
0.76,0.05,258.3566360423091
0.76,0.1,219.50544560167907
0.76,0.14,185.2088089968294
0.76,0.19,155.97681190409128
0.76,0.24,131.4843379323021
0.76,0.29,111.06260041273141
0.76,0.33,94.00034519870512
0.76,0.38,79.66891917909987
0.76,0.43,67.55183054763545
0.76,0.48,57.23599062366516
0.76,0.52,48.39242134355618
0.76,0.57,40.75719276025439
0.76,0.62,34.1157324317978
0.76,0.67,28.29076458760662
0.76,0.71,23.133261348142057
0.76,0.76,18.515662067697924
0.76,0.81,14.326724707004084
0.76,0.86,10.467523628128403
0.76,0.9,6.848239784078084
0.76,0.95,3.3854885694543215
0.76,1.0,0.0
0.81,0.0,300.0
0.81,0.05,250.12682754595056
0.81,0.1,205.32577645459742
0.81,0.14,168.02991473402795
0.81,0.19,138.11474916128265
0.81,0.24,114.33009664686126
0.81,0.29,95.30215915017097
0.81,0.33,79.8936176798895
0.81,0.38,67.24750629343242
0.81,0.43,56.7358400177814
0.81,0.48,47.89784678302885
0.81,0.52,40.3903151435622
0.81,0.57,33.95203812976924
0.81,0.62,28.379354733224066
0.81,0.67,23.50948450598311
0.81,0.71,19.209100719638688
0.81,0.76,15.366366742043402
0.81,0.81,11.88525083871739
0.81,0.86,8.68133953139176
0.81,0.9,5.678635868795746
0.81,0.95,2.8070002774595175
0.81,1.0,0.0
0.86,0.0,300.0
0.86,0.05,236.27457983379193
0.86,0.1,183.1820107098892
0.86,0.14,143.3050870117875
0.86,0.19,114.12078793702058
0.86,0.24,92.46630419528195
0.86,0.29,75.97100682820708
0.86,0.33,63.0626480101413
0.86,0.38,52.71910188242524
0.86,0.43,44.26536206818527
0.86,0.48,37.24260160288845
0.86,0.52,31.328333252988447
0.86,0.57,26.287961778683886
0.86,0.62,21.94497952022253
0.86,0.67,18.162238335167483
0.86,0.71,14.82988408411968
0.86,0.76,11.857363179760362
0.86,0.81,9.167957797559676
0.86,0.86,6.694912988212627
0.86,0.9,4.378575167515057
0.86,0.95,2.1641732191998733
0.86,1.0,0.0
0.9,0.0,300.0
0.9,0.05,209.95061802620313
0.9,0.1,147.02291701659678
0.9,0.14,107.88683168962162
0.9,0.19,82.76011718419629
0.9,0.24,65.57943713510615
0.9,0.29,53.142421255795654
0.9,0.33,43.72260452551652
0.9,0.38,36.33553349498012
0.9,0.43,30.385794035288292
0.9,0.48,25.493020332995137
0.9,0.52,21.401842958067462
0.9,0.57,17.93287959231892
0.9,0.62,14.954804016998777
0.9,0.67,12.367754590838897
0.9,0.71,10.093097517213138
0.9,0.76,8.066877479136972
0.9,0.81,6.235470492410672
0.9,0.86,4.552582432974262
0.9,0.9,2.9770829834033905
0.9,0.95,1.4713609465499995
0.9,1.0,0.0
0.95,0.0,300.0
0.95,0.05,149.25563881442426
0.95,0.1,87.07184678764914
0.95,0.14,59.257805753553214
0.95,0.19,43.91086123373735
0.95,0.24,34.175097307949976
0.95,0.29,27.410596194980577
