"Temperature (K)","steady_table_vals","L_inf (K)","L2_err","Total Energy (J/kg)","Energy Residual (W)","Volume (m^3)","Report: (actual?)_L2_err","X (m)","Y (m)","Z (m)"
79.152351379394531,77.704919380772694,1.4474319986218376,2.095059390634407,71474.5703125,0.00193023681640625,0.00015624999650754035,0.060656072483760225,0.45625000011132211,0.48124999987994665,0
75.939201354980469,77.704919380772694,1.7657180257922249,3.1177601466075924,68573.1015625,7.62939453125e-06,0.00015624999650754035,0.060656072483760225,0.45625000010695654,0.4937499999599822,0
78.721870422363281,76.857141312867597,1.8647291094956842,3.4772146518005673,71085.8515625,-0.00350189208984375,0.00015624999650754035,0.060656072483760225,0.4437500000371073,0.48124999987558115,0
72.830299377441406,71.474414369723505,1.3558850077179017,1.8384241541541742,65765.7578125,-0.0001220703125,0.00015624999650754035,0.060656072483760225,0.45625000010259098,0.50625000002983145,0
75.522262573242188,76.857141312867597,1.3348787396254096,1.7819012495039221,68196.6015625,6.103515625e-05,0.00015624999650754035,0.060656072483760225,0.44375000003565218,0.49374999995852703,0
78.183647155761719,76.857141312867597,1.3265058428941217,1.7596177512322442,70599.8359375,0.0036163330078125,0.00015624999650754035,0.060656072483760225,0.43124999996725816,0.48124999987121558,0
69.822219848632812,71.474414369723505,1.6521945210906921,2.7297467355221015,63049.46484375,-6.103515625e-05,0.00015624999650754035,0.060656072483760225,0.45625000009822536,0.51875000008949435,0
72.426910400390625,70.680890665285702,1.7460197351049231,3.0485849153758662,65401.5,0.00177001953125,0.00015624999650754035,0.060656072483760225,0.44375000003419696,0.50625000002837628,0
75.001068115234375,76.857141312867597,1.8560731976332221,3.4450077149724141,67725.9609375,-0.0018310546875,0.00015624999650754035,0.060656072483760225,0.43124999996580299,0.49374999995707186,0
77.537643432617188,75.585179991446495,1.9524634411706927,3.812113489108103,70016.4921875,-4.57763671875e-05,0.00015624999650754035,0.060656072483760225,0.41874999990177453,0.48124999986685002,0
66.911552429199219,65.640620694277303,1.2709317349219162,1.615267474831632,60421.1328125,-0.00174713134765625,0.00015624999650754035,0.060656072483760225,0.45625000032669044,0.53124999974679676,0
69.432350158691406,70.680890665285702,1.2485405065942956,1.5588533966067404,62697.4140625,-0.0018310546875,0.00015624999650754035,0.060656072483760225,0.44375000003274173,0.51875000008512873,0
71.922737121582031,70.680890665285702,1.2418464562963294,1.5421826210157512,64946.23046875,-0.00189208984375,0.00015624999650754035,0.060656072483760225,0.43124999996434776,0.506250000026921,0
74.375617980957031,75.585179991446495,1.2095620104894635,1.4630402572193131,67161.1796875,0,0.00015624999650754035,0.060656072483760225,0.41874999989740902,0.49374999995561669,0
76.783798217773438,75.585179991446495,1.1986182263269427,1.4366856524831459,69335.7734375,-0.0018310546875,0.00015624999650754035,0.060656072483760225,0.40625000024156183,0.48124999962965376,0
64.094902038574219,65.640620694277303,1.5457186557030838,2.3892461625885484,57877.6953125,0.00182342529296875,0.00015624999650754035,0.060656072483760225,0.45625000008949423,0.54374999987994665,0
66.535125732421875,64.900921487287206,1.6342042451346686,2.6706235148161719,60081.21875,6.103515625e-05,0.00015624999650754035,0.060656072483760225,0.44375000026411721,0.53124999962456065,0
68.945137023925781,70.680890665285702,1.7357536413599206,3.0128407034942239,62257.45703125,0.00177001953125,0.00015624999650754035,0.060656072483760225,0.43124999996289254,0.51875000008076311,0
71.317825317382812,69.491155927664593,1.8266693897182193,3.3367210593335321,64399.99609375,0.0018310546875,0.00015624999650754035,0.060656072483760225,0.41874999989304335,0.50625000002546583,0
73.64593505859375,75.585179991446495,1.9392449328527448,3.7606709095950466,66502.28125,0.00189208984375,0.00015624999650754035,0.060656072483760225,0.40625000023574104,0.49374999972133082,0
75.922073364257812,73.888957984898099,2.0331153793597139,4.1335581457889932,68557.6328125,0.0018310546875,0.00015624999650754035,0.060656072483760225,0.39375000011132216,0.48124999985811884,0
61.368919372558594,60.176537774956799,1.1923815976017949,1.4217738742994086,55416.1328125,-0.001834869384765625,0.00015624999650754035,0.060656072483760225,0.45625000008512862,0.55624999995998214,0
63.731819152832031,64.900921487287206,1.1691023344551752,1.3668002684285403,57549.83203125,0.00091552734375,0.00015624999650754035,0.060656072483760225,0.44375000002983139,0.54374999987558126,0
66.064781188964844,64.900921487287206,1.1638597016776373,1.3545694051891588,59656.49609375,6.103515625e-05,0.00015624999650754035,0.060656072483760225,0.43124999996143737,0.53124999996798583,0
68.360687255859375,69.491155927664593,1.1304686718052182,1.277959417933054,61729.69921875,-0.0001220703125,0.00015624999650754035,0.060656072483760225,0.41874999988867773,0.5187500000763976,0
70.612266540527344,69.491155927664593,1.1211106128627506,1.2568890062734923,63762.875,-0.00347900390625,0.00015624999650754035,0.060656072483760225,0.40625000022992025,0.50624999979118002,0
72.812065124511719,73.888957984898099,1.0768928603863799,1.1596982327511591,65749.296875,-0.0035400390625,0.00015624999650754035,0.060656072483760225,0.3937500001069566,0.4937499999527063,0
74.952468872070312,73.888957984898099,1.0635108871722139,1.1310554071338295,67682.078125,-0.0034942626953125,0.00015624999650754035,0.060656072483760225,0.38125000003710741,0.48124999985375327,0
58.730270385742188,60.176537774956799,1.4462673892146114,2.0916893611056482,53033.43359375,0.00095367431640625,0.00015624999650754035,0.060656072483760225,0.45625000008076305,0.56875000002983145,0
61.019046783447266,59.489724089234599,1.5293226942126665,2.3388279030338892,55100.19921875,-0.00091552734375,0.00015624999650754035,0.060656072483760225,0.44375000002837617,0.55624999995852697,0
63.278205871582031,64.900921487287206,1.6227156157051752,2.6332059694534258,57140.21875,-0.00091552734375,0.00015624999650754035,0.060656072483760225,0.43124999995998214,0.54374999987121564,0
65.500656127929688,63.792558977169698,1.7080971507599898,2.9175958764343952,59147.09375,0.00177001953125,0.00015624999650754035,0.060656072483760225,0.41874999988431222,0.53125000007858036,0
67.679130554199219,69.491155927664593,1.8120253734653744,3.2834359540823295,61114.25390625,0.0018310546875,0.00015624999650754035,0.060656072483760225,0.40625000022409946,0.51874999983920145,0
69.806159973144531,67.906106640550405,1.9000533325941262,3.6102026667020453,63034.9609375,0.001708984375,0.00015624999650754035,0.060656072483760225,0.39375000010259092,0.50625000002255538,0
71.874076843261719,73.888957984898099,2.0148811416363799,4.0597460149219211,64902.29296875,0.003662109375,0.00015624999650754035,0.060656072483760225,0.38125000003565218,0.49374999995125113,0
73.875007629394531,71.768827969918206,2.1061796594763251,4.4359927579918086,66709.1328125,-0.001739501953125,0.00015624999650754035,0.060656072483760225,0.36874999996725816,0.48124999984938771,0
56.175682067871094,55.055658641764097,1.1200234261069966,1.2544524750284547,50726.640625,-8.0108642578125e-05,0.00015624999650754035,0.060656072483760225,0.45625000007639749,0.58125000008949435,0
58.393455505371094,59.489724089234599,1.0962685838635053,1.2018048079660955,52729.2890625,0.0018310546875,0.00015624999650754035,0.060656072483760225,0.44375000002692094,0.56875000002837628,0
