"RMS of Temperature (K)","Temperature (K)","Total Energy (J/kg)","Energy Residual (W)","L2 Error (K)","X (m)","Y (m)","Z (m)"
149.51986616524187,149.16853332519531,134699.1875,0.015625,149.16853332519531,0.95000000013969843,0.050000000698491927,0
67.446297750380381,65.587562561035156,59225.5703125,-0.00390625,65.587562561035156,0.95000000004656615,0.15000000209547579,0
229.49236761311752,229.42356872558594,207169.484375,-0.00390625,82.705711052841934,0.85000000041909518,0.050000000605359668,0
40.05089211247428,36.238922119140625,32723.74609375,0,36.238922119140625,0.95000000181607924,0.24999999981373539,0
143.00299515593298,142.53034973144531,128704.90625,0.001953125,60.345369756312408,0.85000000013969845,0.150000001816079,0
255.51543395190222,255.41897583007812,230643.328125,0,27.592264284168124,0.74999999981373566,0.050000002374872551,0
28.798530184332353,22.872356414794922,20653.73828125,0.0009765625,-12.532878175185779,0.94999999986030159,0.35000000041909507,0
93.86554907309538,92.734687805175781,83739.421875,0,10.549707830042877,0.85000000172294699,0.24999999944120632,0
182.70468046283096,182.37559509277344,164685.15625,0.0078125,-22.303121642373554,0.75000000316649695,0.14999999967403696,0
265.39470265492548,265.29574584960938,239562.0625,0.005859375,37.469034303699374,0.65000000209547582,0.050000000419095157,0
23.430397378783027,15.364238739013672,13873.9072265625,-0.00146484375,-9.1122422396581264,0.94999999976716931,0.45000000013969832,0
64.770074213925184,62.758621215820312,56671.03515625,-0.001953125,-2.5683317425678922,0.84999999958090477,0.35000000013969823,0
130.10375881673508,129.41085815429688,116858.0078125,-0.0078125,-7.4914814886781187,0.75000000093132257,0.24999999999999997,0
202.44485990567955,202.14222717285156,182534.4375,-0.0068359375,35.086555227915568,0.65000000181607909,0.15000000125728546,0
269.01307054331176,268.91757202148438,242832.5625,-0.00390625,31.222973666489366,0.55000000069849186,0.050000000325962905,0
20.668946347110378,10.531501770019531,9509.9462890625,0.00146484375,-6.3362664055952678,0.94999999967403703,0.55000000069849198,0
46.563689314271606,43.417335510253906,39205.85546875,0,-2.4087262504407931,0.84999999930150794,0.45000000004656604,0
93.225456234748648,92.010101318359375,83085.125,0.005859375,-1.6504592344771254,0.75000000242143872,0.3499999979976563,0
151.09915025853098,150.52302551269531,135922.296875,0.0009765625,29.696963752000315,0.65000000153668225,0.25000000149011609,0
210.67003186914172,210.37451171875,189968.1875,0,28.563922029573007,0.55000000060535958,0.15000000097788871,0
269.01050935425752,268.91757202148438,242832.5625,-0.00390625,28.410732418898363,0.45000000013969843,0.050000000232830646,0
19.212857454427898,7.1424145698547363,6449.6005859375,-0.000244140625,-4.1223985534436629,0.94999999958090475,0.6500000020954757,0
34.760296222130712,30.150848388671875,27226.216796875,-0.000732421875,-1.6597413005050257,0.84999999902211121,0.55000000060535958,0
67.350190679042541,65.3956298828125,59052.25390625,0.00146484375,0.068676924424295294,0.75000000298023228,0.4499999980907885,0
111.43843094034951,110.47528839111328,99759.1875,-0.00244140625,-10.350773369581717,0.65000000125728541,0.34999999958090483,0
160.60012994254365,160.06373596191406,144537.546875,0.0009765625,24.379753932149072,0.55000000237487268,0.25000000298023234,0
210.66286802712489,210.37451171875,189968.1875,0,24.136890378700002,0.45000000004656615,0.15000000069849193,0
265.38461374110807,265.29574584960938,239562.0625,0.005859375,27.601147494614366,0.35000000041909513,0.050000000139698381,0
18.448747690467787,4.6067667007446289,4159.91015625,0.00048828125,4.6067667007446289,0.95000000135041773,0.74999999981373522,0
27.05671782014328,20.573801040649414,18578.142578125,-0.000732421875,-0.74895898777218761,0.84999999874271426,0.65000000181607887,0
49.05079342321261,46.080760955810547,41610.92578125,-0.00048828125,2.7486911523640458,0.74999999888241276,0.55000000051222742,0
81.596909658932745,80.0743408203125,72307.1328125,0.00244140625,-6.7766671772068037,0.65000000097788857,0.44999999986030154,0
120.16965092067414,119.29367065429688,107722.1875,-0.001953125,-16.390311375468116,0.55000000041909514,0.3499999993015081,0
160.59189568834927,160.06373596191406,144537.546875,0.0009765625,24.379753932149072,0.44999999995343387,0.25000000074505807,0
202.41970533275125,202.1422119140625,182534.421875,-0.009765625,20.331622224885507,0.3500000001396984,0.15000000041909514,0
255.50060944201951,255.41897583007812,230643.328125,0,50.740259094931133,0.24999999981373552,0.050000001909211243,0
18.06537258321292,2.5815777778625488,2331.164794921875,-0.0001220703125,-0.70056454939336099,0.94999999939464019,0.85000000041909496,0
22.174709644970523,13.309839248657227,12018.78515625,0.0001220703125,2.0450261253588273,0.8500000003259629,0.74999999944120621,0
36.093310847525309,31.692104339599609,28617.970703125,0.00048828125,-0.11848534957729129,0.75000000130385136,0.64999999967403688,0
59.413441994687169,57.084453582763672,51547.26171875,-0.001953125,13.752383779317171,0.65000000069849173,0.55000000041909514,0
88.708780757350723,87.342002868652344,78869.828125,0.00146484375,-12.134478110019458,0.55000000032596286,0.44999999976716931,0
120.162096849029,119.29367065429688,107722.1875,-0.00146484375,-16.390311375468116,0.44999999986030159,0.34999999902211132,0
151.07279680910364,150.52302551269531,135922.296875,0.001953125,-31.287564176481681,0.35000000172294687,0.24999999664723863,0
182.67543833684948,182.37559509277344,164685.15625,0.0078125,-45.451116453136564,0.25000000409781942,0.14999999827705313,0
229.48960647611113,229.42356872558594,207169.484375,0,-70.576431274414062,0.15000000209547582,0.04999999995343387,0
17.906772323389074,0.83147794008255005,750.8245849609375,0,0.83147794008255005,0.9499999993015078,0.95000000013969832,0
19.333327781289995,7.4696431159973145,6745.087890625,-0.0001220703125,1.2398845203533746,0.8499999981839208,0.85000000013969823,0
27.071384636463911,20.589145660400391,18591.998046875,-0.000244140625,-8.58479257890491,0.7499999990686772,0.74999999999999978,0
43.040638994376053,39.524711608886719,35690.81640625,0.00048828125,10.350773369581418,0.650000000419095,0.65000000125728541,0
64.743859113799331,62.657993316650391,56580.16796875,-0.00048828125,12.134474295322192,0.55000000023283058,0.55000000032596286,0
88.70267968282387,87.342002868652344,78869.828125,0.00146484375,-12.134478110019458,0.44999999976716937,0.44999999967403709,0
111.41597251698758,110.47528076171875,99759.1796875,-0.00146484375,-10.350780998976248,0.34999999958090483,0.34999999874271454,0
130.07321492846106,129.41084289550781,116857.9921875,-0.0068359375,-37.644829049428182,0.25000000000000006,0.24999999906867745,0
149.51896706030251,149.16851806640625,134699.171875,-0.0234375,-150.83148193359375,0.050000000698491934,0.049999999860301611,0
142.99109128821758,142.53034973144531,128704.90625,0.0009765625,-62.148367003701679,0.15000000181607903,0.14999999986030163,0
18.042303698722836,2.4072895050048828,2173.782470703125,0,2.4072895050048828,0.84999999790452396,0.95000000004656593,0
21.208517575975751,11.579867362976074,10456.6201171875,-0.0001220703125,-1.5177929940494259,0.75000000055879346,0.84999999799765624,0
31.120247480192074,25.774768829345703,23274.6171875,0.000244140625,7.8137613555395014,0.65000000013969828,0.75000000149011603,0
46.714769062414206,43.547523498535156,39323.4140625,-0.000244140625,9.4145833292663568,0.5500000001396983,0.65000000097788879,0
64.740193832330036,62.657993316650391,56580.16796875,-0.00048828125,12.134474295322192,0.44999999967403703,0.55000000023283069,0
81.582729301382784,80.0743408203125,72307.1328125,0.00390625,-6.7766671772068037,0.34999999930150805,0.44999999958090486,0
93.203371841271846,92.010093688964844,83085.1171875,0,-28.815968071730154,0.25000000242143872,0.34999999660067255,0
67.445015803762757,65.587562561035156,59225.5703125,0.005859375,-81.130295111708847,0.050000000605359682,0.14999999958090485,0
93.854478855830138,92.734687805175781,83739.421875,0.001953125,-44.167651837799212,0.15000000153668225,0.24999999962747094,0
18.258066709688364,3.7353262901306152,3372.999755859375,0.0001220703125,3.7353262901306152,0.75000000018626445,0.95000000181607902,0
22.905489050571045,14.525354385375977,13116.39453125,0.000244140625,-6.526513277882124,0.64999999986030144,0.84999999958090466,0
33.33755999587401,28.459865570068359,25699.2578125,0.000732421875,7.4079979068102588,0.55000000190921128,0.75000000204890971,0
46.712694350602135,43.547523498535156,39323.4140625,0,9.4145833292663568,0.4499999995809047,0.65000000069849195,0
59.403528930521581,57.084453582763672,51547.26171875,-0.00146484375,13.752383779317171,0.34999999902211126,0.55000000013969841,0
67.334212997375957,65.395637512207031,59052.26171875,-0.00244140625,-21.455370485312272,0.25000000204890971,0.44999999762512732,0
40.050226244203209,36.238922119140625,32723.74609375,-0.001953125,-45.946057855992279,0.050000002374872697,0.24999999646097415,0
64.762636049133363,62.758621215820312,56671.03515625,0.00048828125,-30.901939337016188,0.15000000125728546,0.34999999818392097,0
18.468805760547934,4.6894755363464355,4234.59619140625,-0.000244140625,-5.3429233430632639,0.6499999995809046,0.94999999986030137,0
23.881704735596177,16.057304382324219,14499.74609375,-0.000732421875,-6.0529507562365801,0.54999999995343374,0.84999999930150794,0
33.336483401085559,28.459867477416992,25699.259765625,-0.000244140625,-7.3647901140130045,0.45000000135041779,0.74999999795109029,0
43.035188534565677,39.524711608886719,35690.81640625,0.000732421875,10.350773369581418,0.34999999874271437,0.65000000041909511,0
49.041378999846039,46.080760955810547,41610.92578125,0.001220703125,-15.821578687163957,0.2500000016763807,0.54999999818392098,0
28.798152520632875,22.872356414794922,20653.73828125,-0.001953125,-29.484009840260477,0.05000000041909515,0.34999999790452418,0
46.559262001547488,43.417335510253906,39205.85546875,0.00048828125,-21.909617448134298,0.15000000097788868,0.4499999993946403,0
18.596507148772677,5.1866955757141113,4683.5859375,0.00048828125,-5.3535028643559883,0.54999999986030146,0.9499999997671692,0
23.881390353846911,16.057304382324219,14499.74609375,-0.000732421875,-4.9945632809338818,0.4499999993946403,0.84999999902211132,0
31.117983266684913,25.774770736694336,23274.6171875,-0.00048828125,-8.3581694325744635,0.35000000032596296,0.7499999966472386,0
36.088101894070526,31.692106246948242,28617.97265625,-0.00048828125,-11.639963556498259,0.25000000130385158,0.64999999827705324,0
23.430208849988226,15.364238739013672,13873.9072265625,0,-20.040995850967029,0.050000000325962898,0.44999999930150802,0
34.757199033825593,30.150848388671875,27226.216796875,-0.000244140625,-15.675213372022824,0.15000000069849193,0.54999999995343385,0
18.596498311177626,5.1866955757141113,4683.5859375,0.00048828125,-4.8457033036955881,0.44999999930150802,0.94999999967403714,0
22.904879080318572,14.525354385375977,13116.39453125,0,-3.4356530884302252,0.34999999818392091,0.84999999874271459,0
27.068877827805824,20.589145660400391,18591.998046875,0.001220703125,-8.58479257890491,0.25000000093132257,0.74999999813735485,0
20.668815255204052,10.531499862670898,9509.9443359375,-0.0009765625,-13.9449811160008,0.050000000232830639,0.54999999986030157,0
