Temperature (K),Solid Volume Fraction of h2o,Volume (m^3),X (m),Y (m),Z (m)
299.73028564453125,0,6.2499999842202669e-08,0,0.00050000002374872565,0
299.73028564453125,0,6.2499999842202669e-08,0.00012500000186264516,0.00050000002374872565,0
299.73028564453125,0,6.2499999842202669e-08,0.00025000000372529032,0.00050000002374872565,0
299.19100952148438,0,6.2500006947630027e-08,0.00037500000558793545,0.00050000002374872565,0
299.19100952148438,0,6.2500006947630027e-08,0.00050000000745058064,0.00050000002374872565,0
298.65206909179688,0,6.2499999842202669e-08,0.00062500000931322577,0.00050000002374872565,0
298.65206909179688,0,6.2499999842202669e-08,0.0007500000111758709,0.00050000002374872565,0
298.11367797851562,0,6.2499999842202669e-08,0.00087500001303851614,0.00050000002374872565,0
298.11367797851562,0,6.2499999842202669e-08,0.0010000000149011613,0.00050000002374872565,0
297.57598876953125,0,6.2499999842202669e-08,0.0011250000167638064,0.00050000002374872565,0
297.57598876953125,0,6.2499999842202669e-08,0.0012500000186264515,0.00050000002374872565,0
297.03924560546875,0,6.2500006947630027e-08,0.0013750000204890967,0.00050000002374872565,0
297.03924560546875,0,6.2500006947630027e-08,0.0015000000223517418,0.00050000002374872565,0
296.49526977539062,0,6.4453125503405317e-08,0.0016250000242143869,0.00050000002374872565,0
296.49526977539062,0,6.4453125503405317e-08,0.0017500000260770323,0.00050000002374872565,0
295.96096801757812,0,6.0546874181000021e-08,0.0018750000279396772,0.00050000002374872565,0
295.96096801757812,0,6.0546874181000021e-08,0.0020000000298023225,0.00050000002374872565,0
295.43649291992188,0,6.2499999842202669e-08,0.0021250000316649677,0.00050000002374872565,0
294.90536499023438,0,6.2499999842202669e-08,0.0022500000335276128,0.00050000002374872565,0
294.90536499023438,0,6.2499999842202669e-08,0.0023750000353902579,0.00050000002374872565,0
294.90536499023438,0,6.2499999842202669e-08,0.0025000000372529031,0.00050000002374872565,0
294.37612915039062,0,6.2499999842202669e-08,0.0026250000391155482,0.00050000002374872565,0
294.37612915039062,0,6.2499999842202669e-08,0.0027500000409781933,0.00050000002374872565,0
293.84893798828125,0,6.2500006947630027e-08,0.0028750000428408385,0.00050000002374872565,0
293.84893798828125,0,6.2500006947630027e-08,0.0030000000447034836,0.00050000002374872565,0
293.32400512695312,0,6.2499999842202669e-08,0.0031250000465661287,0.00050000002374872565,0
293.32400512695312,0,6.2499999842202669e-08,0.0032500000484287739,0.00050000002374872565,0
292.801513671875,0,6.2500006947630027e-08,0.0033750000502914194,0.00050000002374872565,0
292.801513671875,0,6.2500006947630027e-08,0.0035000000521540646,0.00050000002374872565,0
292.28164672851562,0,6.2499999842202669e-08,0.0036250000540167093,0.00050000002374872565,0
291.7645263671875,0,6.2499999842202669e-08,0.0037500000558793544,0.00050000002374872565,0
291.7645263671875,0,6.2499999842202669e-08,0.0038750000577419995,0.00050000002374872565,0
291.7645263671875,0,6.2499999842202669e-08,0.0040000000596046451,0.00050000002374872565,0
291.2503662109375,0,6.2499999842202669e-08,0.0041250000614672898,0.00050000002374872565,0
291.2503662109375,0,6.2499999842202669e-08,0.0042500000633299354,0.00050000002374872565,0
290.747314453125,0,6.0546874181000021e-08,0.00437500006519258,0.00050000002374872565,0
290.23947143554688,0,6.4453125503405317e-08,0.0045000000670552256,0.00050000002374872565,0
290.23947143554688,0,6.4453125503405317e-08,0.0046250000689178703,0.00050000002374872565,0
290.23947143554688,0,6.4453125503405317e-08,0.0047500000707805159,0.00050000002374872565,0
289.727294921875,0,6.2499999842202669e-08,0.0048750000726431606,0.00050000002374872565,0
289.727294921875,0,6.2499999842202669e-08,0.0050000000745058061,0.00050000002374872565,0
289.22662353515625,0,6.2499999842202669e-08,0.0051250000763684508,0.00050000002374872565,0
289.22662353515625,0,6.2499999842202669e-08,0.0052500000782310964,0.00050000002374872565,0
288.729736328125,0,6.2499999842202669e-08,0.0053750000800937411,0.00050000002374872565,0
288.729736328125,0,6.2499999842202669e-08,0.0055000000819563867,0.00050000002374872565,0
288.23675537109375,0,6.2499999842202669e-08,0.0056250000838190322,0.00050000002374872565,0
288.23675537109375,0,6.2499999842202669e-08,0.0057500000856816769,0.00050000002374872565,0
287.74786376953125,0,6.2499999842202669e-08,0.0058750000875443216,0.00050000002374872565,0
287.74786376953125,0,6.2499999842202669e-08,0.0060000000894069672,0.00050000002374872565,0
287.26318359375,0,6.2499999842202669e-08,0.0061250000912696119,0.00050000002374872565,0
287.26318359375,0,6.2499999842202669e-08,0.0062500000931322575,0.00050000002374872565,0
286.78280639648438,0,6.2499999842202669e-08,0.006375000094994903,0.00050000002374872565,0
286.78280639648438,0,6.2499999842202669e-08,0.0065000000968575477,0.00050000002374872565,0
286.30694580078125,0,6.2500006947630027e-08,0.0066250000987201933,0.00050000002374872565,0
286.30694580078125,0,6.2500006947630027e-08,0.0067500001005828389,0.00050000002374872565,0
285.835693359375,0,6.2499999842202669e-08,0.0068750001024454836,0.00050000002374872565,0
285.835693359375,0,6.2499999842202669e-08,0.0070000001043081291,0.00050000002374872565,0
285.36917114257812,0,6.2499999842202669e-08,0.007125000106170773,0.00050000002374872565,0
284.90750122070312,0,6.2499999842202669e-08,0.0072500001080334185,0.00050000002374872565,0
284.90750122070312,0,6.2499999842202669e-08,0.0073750001098960632,0.00050000002374872565,0
284.45083618164062,0,6.2500006947630027e-08,0.0075000001117587088,0.00050000002374872565,0
284.45083618164062,0,6.2500006947630027e-08,0.0076250001136213543,0.00050000002374872565,0
283.99221801757812,0,6.4453125503405317e-08,0.007750000115483999,0.00050000002374872565,0
283.99221801757812,0,6.4453125503405317e-08,0.0078750001173466446,0.00050000002374872565,0
283.99221801757812,0,6.4453125503405317e-08,0.0080000001192092902,0.00050000002374872565,0
283.54598999023438,0,6.0546874181000021e-08,0.0081250001210719357,0.00050000002374872565,0
283.54598999023438,0,6.0546874181000021e-08,0.0082500001229345796,0.00050000002374872565,0
